시도교육청코드,시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,분석일수,휴업일수,수업일수,평균기억점수,평균위험점수,최대위험점수,최저기억점수,고위험일수,휴업일비율,고위험일비율,최종위험지수,위험등급,방학일수,추론방학일수,위험백분위,상대위험등급
D10,대구광역시교육청,7240331,대구일과학고등학교,고등학교,D10_7240331_고등학교,대구일과학고등학교 (고등학교),354,170,184,65.08036028674279,34.91963971325722,88.99346083922914,11.006539160770858,71,48.0225988700565,20.056497175141246,30.460696951822424,낮음,11,0,100.0,상위 5%
E10,인천광역시교육청,7310080,신명여자고등학교,고등학교,E10_7310080_고등학교,신명여자고등학교 (고등학교),349,160,189,65.93279720320345,34.06720279679656,93.06807154811244,6.931928451887561,64,45.845272206303726,18.33810888252149,29.348474622514036,낮음,16,0,99.9920823436263,상위 5%
R10,경상북도교육청,8941040,관호초등학교,초등학교,R10_8941040_초등학교,관호초등학교 (초등학교),339,150,189,67.37863707361267,32.62136292638734,91.66418415636063,8.33581584363937,59,44.24778761061947,17.404129793510325,28.056192986524234,낮음,26,0,99.98416468725257,상위 5%
D10,대구광역시교육청,7281006,다사중학교,중학교,D10_7281006_중학교,다사중학교 (중학교),339,149,190,67.50450652784933,32.49549347215067,92.58011048077105,7.419889519228951,57,43.95280235988201,16.8141592920354,27.791093218116085,낮음,26,0,99.97624703087887,상위 5%
D10,대구광역시교육청,7240206,대구체육고등학교,고등학교,D10_7240206_고등학교,대구체육고등학교 (고등학교),345,157,188,67.9102323279961,32.089767672003894,89.32627101823543,10.673728981764574,56,45.507246376811594,16.231884057971012,27.33240258779403,낮음,20,0,99.96832937450515,상위 5%
R10,경상북도교육청,8791089,풍천중학교,중학교,R10_8791089_중학교,풍천중학교 (중학교),340,151,189,67.79654892447715,32.20345107552284,90.34729365299627,9.652706347003726,53,44.41176470588235,15.588235294117647,27.218886341101282,낮음,25,0,99.96041171813144,상위 5%
R10,경상북도교육청,8841048,호계초등학교,초등학교,R10_8841048_초등학교,호계초등학교 (초등학교),352,165,187,68.02729211298652,31.97270788701348,84.31941704198039,15.680582958019608,56,46.875,15.909090909090908,27.15362279363671,낮음,13,0,99.95249406175772,상위 5%
R10,경상북도교육청,8750122,예천여자고등학교,고등학교,R10_8750122_고등학교,예천여자고등학교 (고등학교),344,153,191,67.89152762213865,32.10847237786134,90.38381094957953,9.616189050420475,53,44.47674418604651,15.406976744186046,27.09802368775875,낮음,21,0,99.94457640538401,상위 5%
M10,충청북도교육청,8021069,용원초등학교,초등학교,M10_8021069_초등학교,용원초등학교 (초등학교),336,148,188,68.14985900531235,31.85014099468764,90.34729365299627,9.652706347003726,53,44.047619047619044,15.773809523809524,27.027241553424204,낮음,29,0,99.93665874901029,상위 5%
R10,경상북도교육청,8821034,고경초등학교,초등학교,R10_8821034_초등학교,고경초등학교 (초등학교),337,148,189,68.14952205570904,31.850477944290965,90.34729365299627,9.652706347003726,53,43.916913946587535,15.727002967359049,27.01343545121139,낮음,28,0,99.92874109263657,상위 5%
