분석단위ID,detail_file
B10_1342098_고등학교,details/detail_part_000.parquet
B10_1342098_중학교,details/detail_part_000.parquet
B10_1342098_초등학교,details/detail_part_000.parquet
B10_1342099_고등학교,details/detail_part_000.parquet
B10_1342099_중학교,details/detail_part_000.parquet
B10_1342099_초등학교,details/detail_part_000.parquet
B10_1342102_고등학교,details/detail_part_000.parquet
B10_1342102_중학교,details/detail_part_000.parquet
B10_1342102_초등학교,details/detail_part_000.parquet
B10_1371661_고등학교,details/detail_part_000.parquet
B10_1371662_중학교,details/detail_part_000.parquet
B10_1371663_고등학교,details/detail_part_000.parquet
B10_1371664_중학교,details/detail_part_000.parquet
B10_7010057_고등학교,details/detail_part_000.parquet
B10_7010058_고등학교,details/detail_part_000.parquet
B10_7010059_고등학교,details/detail_part_000.parquet
B10_7010060_고등학교,details/detail_part_000.parquet
B10_7010061_고등학교,details/detail_part_000.parquet
B10_7010062_고등학교,details/detail_part_000.parquet
B10_7010063_고등학교,details/detail_part_000.parquet
B10_7010064_고등학교,details/detail_part_000.parquet
B10_7010065_고등학교,details/detail_part_000.parquet
B10_7010066_고등학교,details/detail_part_000.parquet
B10_7010067_고등학교,details/detail_part_000.parquet
B10_7010068_고등학교,details/detail_part_000.parquet
B10_7010069_고등학교,details/detail_part_000.parquet
B10_7010071_고등학교,details/detail_part_000.parquet
B10_7010072_고등학교,details/detail_part_000.parquet
B10_7010073_고등학교,details/detail_part_000.parquet
B10_7010074_고등학교,details/detail_part_000.parquet
B10_7010075_고등학교,details/detail_part_000.parquet
B10_7010076_고등학교,details/detail_part_000.parquet
B10_7010077_고등학교,details/detail_part_000.parquet
B10_7010078_고등학교,details/detail_part_000.parquet
B10_7010079_고등학교,details/detail_part_000.parquet
B10_7010080_고등학교,details/detail_part_000.parquet
B10_7010081_고등학교,details/detail_part_000.parquet
B10_7010082_고등학교,details/detail_part_000.parquet
B10_7010083_고등학교,details/detail_part_000.parquet
B10_7010084_고등학교,details/detail_part_000.parquet
B10_7010085_고등학교,details/detail_part_000.parquet
B10_7010086_고등학교,details/detail_part_000.parquet
B10_7010087_고등학교,details/detail_part_000.parquet
B10_7010088_고등학교,details/detail_part_000.parquet
B10_7010089_고등학교,details/detail_part_000.parquet
B10_7010090_고등학교,details/detail_part_000.parquet
B10_7010092_고등학교,details/detail_part_000.parquet
B10_7010093_고등학교,details/detail_part_000.parquet
B10_7010094_고등학교,details/detail_part_000.parquet
B10_7010095_고등학교,details/detail_part_000.parquet
B10_7010096_고등학교,details/detail_part_000.parquet
B10_7010097_고등학교,details/detail_part_000.parquet
B10_7010098_고등학교,details/detail_part_000.parquet
B10_7010099_고등학교,details/detail_part_000.parquet
B10_7010100_고등학교,details/detail_part_000.parquet
B10_7010101_고등학교,details/detail_part_000.parquet
B10_7010103_고등학교,details/detail_part_000.parquet
B10_7010104_고등학교,details/detail_part_000.parquet
B10_7010105_고등학교,details/detail_part_000.parquet
B10_7010106_고등학교,details/detail_part_000.parquet
B10_7010107_고등학교,details/detail_part_000.parquet
B10_7010108_고등학교,details/detail_part_000.parquet
B10_7010109_고등학교,details/detail_part_000.parquet
B10_7010110_고등학교,details/detail_part_000.parquet
B10_7010112_고등학교,details/detail_part_000.parquet
B10_7010113_고등학교,details/detail_part_000.parquet
B10_7010114_고등학교,details/detail_part_000.parquet
B10_7010115_고등학교,details/detail_part_000.parquet
B10_7010116_고등학교,details/detail_part_000.parquet
B10_7010117_고등학교,details/detail_part_000.parquet
B10_7010118_고등학교,details/detail_part_000.parquet
B10_7010119_고등학교,details/detail_part_000.parquet
B10_7010120_고등학교,details/detail_part_000.parquet
B10_7010122_고등학교,details/detail_part_000.parquet
B10_7010124_고등학교,details/detail_part_000.parquet
B10_7010125_고등학교,details/detail_part_000.parquet
B10_7010126_고등학교,details/detail_part_000.parquet
B10_7010127_고등학교,details/detail_part_000.parquet
B10_7010131_고등학교,details/detail_part_000.parquet
B10_7010132_고등학교,details/detail_part_000.parquet
B10_7010133_고등학교,details/detail_part_000.parquet
B10_7010134_고등학교,details/detail_part_000.parquet
B10_7010135_고등학교,details/detail_part_000.parquet
B10_7010136_고등학교,details/detail_part_000.parquet
B10_7010137_고등학교,details/detail_part_000.parquet
B10_7010138_고등학교,details/detail_part_000.parquet
