시도교육청명,행정표준코드,학교명,학교과정명,분석단위ID,학교표시명,전체일수,방학일수,메인분석일수,휴업일수,수업일수,추론방학일수
강원특별자치도교육청,7004207,강원대학교사범대학부설고등학교,고등학교,K10_7004207_고등학교,강원대학교사범대학부설고등학교 (고등학교),365,73,292,102,190,0
강원특별자치도교육청,7004261,춘천교육대학교부설초등학교,초등학교,K10_7004261_초등학교,춘천교육대학교부설초등학교 (초등학교),365,79,286,96,190,0
강원특별자치도교육청,7801089,가곡고등학교,고등학교,K10_7801089_고등학교,가곡고등학교 (고등학교),365,79,286,97,189,0
강원특별자치도교육청,7801090,간동고등학교,고등학교,K10_7801090_고등학교,간동고등학교 (고등학교),365,76,289,99,190,0
강원특별자치도교육청,7801091,갑천고등학교,고등학교,K10_7801091_고등학교,갑천고등학교 (고등학교),365,54,311,122,189,0
강원특별자치도교육청,7801092,강릉고등학교,고등학교,K10_7801092_고등학교,강릉고등학교 (고등학교),365,74,291,102,189,0
강원특별자치도교육청,7801093,강릉명륜고등학교,고등학교,K10_7801093_고등학교,강릉명륜고등학교 (고등학교),365,75,290,100,190,0
강원특별자치도교육청,7801094,강릉문성고등학교,고등학교,K10_7801094_고등학교,강릉문성고등학교 (고등학교),365,54,311,121,190,0
강원특별자치도교육청,7801095,강릉여자고등학교,고등학교,K10_7801095_고등학교,강릉여자고등학교 (고등학교),365,77,288,99,189,0
강원특별자치도교육청,7801096,강릉정보공업고등학교,고등학교,K10_7801096_고등학교,강릉정보공업고등학교 (고등학교),365,54,311,122,189,0
강원특별자치도교육청,7801097,강릉제일고등학교,고등학교,K10_7801097_고등학교,강릉제일고등학교 (고등학교),365,69,296,107,189,0
강원특별자치도교육청,7801098,강릉제일고등학교부설방송통신고등학교,고등학교,K10_7801098_고등학교,강릉제일고등학교부설방송통신고등학교 (고등학교),365,0,365,195,170,0
강원특별자치도교육청,7801099,강릉중앙고등학교,고등학교,K10_7801099_고등학교,강릉중앙고등학교 (고등학교),365,81,284,96,188,0
강원특별자치도교육청,7801100,강원고등학교,고등학교,K10_7801100_고등학교,강원고등학교 (고등학교),365,54,311,123,188,0
강원특별자치도교육청,7801101,강원과학고등학교,고등학교,K10_7801101_고등학교,강원과학고등학교 (고등학교),365,61,304,121,183,0
강원특별자치도교육청,7801102,강원생명과학고등학교,고등학교,K10_7801102_고등학교,강원생명과학고등학교 (고등학교),365,78,287,97,190,0
